id,time_stamp,reg_number,alt,dir,speed,lat,lng,dep_iata,flight_icao,status
1,04/19/2024 02:17:48,VT-ALR,9903,345.3,809,55.992064,63.663013,DEL,AIC127,en-route
2,04/19/2024 02:17:48,ET-AOO,825,161.8,370,42.039525,12.180333,FCO,ETH574,en-route
3,04/19/2024 02:17:48,N306DU,10558,98.7,945,46.957843,-115.162466,SEA,DAL1663,en-route
4,04/19/2024 02:17:48,N984AK,9933,102.6,945,46.614675,-115.045233,SEA,ASA538,en-route
5,04/19/2024 02:17:48,N942NN,10185,279.8,755,46.890948,-107.10937,SEA,AAL2368,en-route
6,04/19/2024 02:17:48,N39475,9666,63,874,39.910496,-118.733465,SFO,UAL1152,en-route
7,04/19/2024 02:17:48,HP-1851CMP,10375,3.8,791,22.694515,-81.301679,PTY,CMP235,en-route
8,04/19/2024 02:17:48,N708NK,6771,305.4,708,26.411032,-80.729777,FLL,NKS5,en-route
9,04/19/2024 02:17:48,N68801,10596,290.8,732,41.976203,-77.279405,EWR,UAL1261,en-route
10,04/19/2024 02:17:48,N817NN,11198,273,700,42.509099,-80.802091,LGA,AAL1705,en-route
11,04/19/2024 02:17:48,N145DQ,9971,279.8,713,42.758469,-83.428414,LGA,DAL2215,en-route
12,04/19/2024 02:17:48,N862NN,9948,278.9,730,42.696322,-82.874669,EWR,AAL2723,en-route
13,04/19/2024 02:17:48,N951AA,11350,340.1,764,37.026247,-83.518169,MIA,AAL791,en-route
14,04/19/2024 02:17:48,N68802,12547,322.5,747,37.542653,-83.316231,MCO,UAL1536,en-route
15,04/19/2024 02:17:48,N627NK,11053,355.9,793,36.514667,-81.773952,FLL,NKS76,en-route
16,04/19/2024 02:17:48,N62849,10406,356.8,787,37.294233,-81.674022,RSW,UAL1773,en-route
17,04/19/2024 02:17:48,N948AN,0,8.4,0,28.428715,-81.316826,MCO,AAL1782,scheduled
18,04/19/2024 02:17:48,N157SY,4277,248.9,599,42.526131,-86.852025,YYZ,UAL4631,en-route
19,04/19/2024 02:17:48,N678NK,9887,256.8,703,42.778179,-85.543715,LGA,NKS3386,en-route
20,04/19/2024 02:17:48,N246SY,9918,263,675,42.86593,-84.759269,JFK,DAL3686,en-route
21,04/19/2024 02:17:48,TC-LJP,11358,2.3,878,36.551822,-84.77671,ATL,THY6275,en-route
22,04/19/2024 02:17:48,N76533,11945,356.1,797,37.26481,-84.771716,TPA,UAL763,en-route
23,04/19/2024 02:17:48,N357FX,13431,353.7,716,38.456038,-84.762918,UST,LXJ357,en-route
24,04/19/2024 02:17:48,N671NK,10695,351,786,37.648576,-84.737008,RSW,NKS764,en-route
25,04/19/2024 02:17:48,N896UA,1175,167.8,392,41.996879,-88.167536,LGA,UAL457,en-route
26,04/19/2024 02:17:48,N75433,9560,83.1,996,42.50516,-92.241228,LAS,UAL1722,en-route
27,04/19/2024 02:17:48,N921AT,9552,112.4,944,43.188229,-91.290951,MSP,DAL2929,en-route
28,04/19/2024 02:17:48,HL7423,10558,116.9,1039,44.46656,-95.131553,ANC,AAR2923,en-route
29,04/19/2024 02:17:48,N54711,12029,69,964,41.246748,-98.781851,SNA,UAL1371,en-route
30,04/19/2024 02:17:48,N584UW,10794,62.1,1011,41.223155,-97.842769,PHX,AAL994,en-route
31,04/19/2024 02:17:48,N8742M,10863,60,987,40.280669,-99.817135,PHX,SWA2414,en-route
32,04/19/2024 02:17:48,N37525,10832,60.8,990,40.642537,-99.114101,PHX,UAL1285,en-route
33,04/19/2024 02:17:48,N37528,10947,75.9,1016,38.543255,-100.767555,SAN,UAL2486,en-route
34,04/19/2024 02:17:48,N972UY,10908,78.7,1025,39.040021,-103.867183,LAX,AAL1996,en-route
35,04/19/2024 02:17:48,N38459,6527,78.9,846,40.047374,-103.614036,DEN,UAL1397,en-route
36,04/19/2024 02:17:48,N865NN,11488,70.2,1016,40.003489,-102.523842,LAS,AAL1855,en-route
37,04/19/2024 02:17:48,N75854,10916,72.8,982,39.254852,-107.625112,LAX,UAL1312,en-route
38,04/19/2024 02:17:48,N8608N,12082,72.7,1010,39.97931,-105.766936,LAS,SWA5411,en-route
39,04/19/2024 02:17:48,N966AN,10977,75,1022,37.770805,-107.866141,LAS,AAL1351,en-route
40,04/19/2024 02:17:48,N305NX,9026,33.7,891,34.348221,-111.334215,PHX,AAL695,en-route
41,04/19/2024 02:17:48,B-18720,undefined,309,22,41.967418,-87.903955,ANC,CAL5236,en-route
42,04/19/2024 02:17:48,B-16785,9522,63.2,900,34.434372,139.585694,SEA,EVA662,en-route
43,04/19/2024 02:17:48,XA-VSR,2989,298.3,530,20.59315,-103.474348,GDL,VOI1702,en-route
44,04/19/2024 02:17:48,N37535,undefined,132.2,11,36.077436,-115.121444,LAS,UAL1062,en-route
45,04/19/2024 02:17:48,N8792Q,7274,270.4,720,39.043285,-77.550746,BWI,SWA5289,en-route
46,04/19/2024 02:17:48,N213JQ,9933,269.4,733,43.083534,-80.328608,BOS,RPA5603,en-route
47,04/19/2024 02:17:48,N921AN,8996,304.6,782,41.018451,-85.304082,DCA,AAL578,en-route
48,04/19/2024 02:17:48,N966NN,9567,273,728,41.226076,-84.333811,PHL,AAL1652,en-route
49,04/19/2024 02:17:48,D-AIGY,3225,216,507,42.171049,-87.708502,FRA,DLH432,en-route
50,04/19/2024 02:17:48,N208PK,2410,46.3,322,41.592153,-88.579783,UIN,FDY485,en-route
51,04/19/2024 02:17:48,N15751,201,90.6,257,41.96568,-87.933115,LGA,UAL2154,en-route
52,04/19/2024 02:17:48,N67171,undefined,270,39,41.967384,-87.92142,ATL,DAL2354,en-route
53,04/19/2024 02:17:48,N418UA,undefined,90,32,41.971561,-87.920614,DFW,UAL1436,en-route
54,04/19/2024 02:17:48,N840AW,undefined,146,0,41.97163,-87.896415,LGA,AAL2043,en-route
55,04/19/2024 02:17:48,N974NK,undefined,180,0,41.978806,-87.895244,ATL,NKS1306,en-route
56,04/19/2024 02:17:48,N150NN,2356,268.5,463,41.884078,-87.841355,CLT,AAL1048,en-route
57,04/19/2024 02:17:48,N508KZ,9986,107.8,1092,43.768279,-94.975381,ANC,GTI7134,en-route
58,04/19/2024 02:17:48,N24505,9895,22.2,850,32.723524,-95.597434,IAH,UAL1789,en-route
59,04/19/2024 02:17:48,N971NN,6565,29.4,806,33.755679,-96.627904,DFW,AAL2346,en-route
60,04/19/2024 02:17:48,N264LV,8188,79.2,921,40.089067,-103.357684,DEN,SWA3642,en-route
61,04/19/2024 02:17:48,N532LA,undefined,352,0,-3.88767,-79.64122,MIA,LCO1806,en-route
62,04/19/2024 02:17:48,N313SB,10688,343,759,27.815521,-80.995458,MIA,AAL483,en-route
63,04/19/2024 02:17:48,N444UA,9156,273,779,42.514453,-80.979789,LGA,UAL2242,en-route
64,04/19/2024 02:17:48,N14019,10383,351,888,-19.320019,-47.530031,GRU,UAL844,en-route
65,04/19/2024 02:17:48,XA-AMA,undefined,17,920,22.734002,-98.127533,MEX,AMX682,en-route
66,04/19/2024 02:17:48,HL7204,5597,79,809,37.563744,127.857999,ICN,KAL37,en-route
